V0,V1,V2,V3
1,all,all,1
2,0,World,0
3,4,Afghanistan,0
4,472,Africa CAMEU region,0
5,8,Albania,0
6,12,Algeria,0
7,16,American Samoa,0
8,20,Andorra,0
9,24,Angola,0
10,660,Anguilla,0
11,10,Antarctica,0
12,28,Antigua and Barbuda,0
13,899,Areas,0
14,32,Argentina,0
15,51,Armenia,0
16,533,Aruba,0
17,36,Australia,0
18,40,Austria,0
19,31,Azerbaijan,0
20,44,Bahamas,0
21,48,Bahrain,0
22,50,Bangladesh,0
23,52,Barbados,0
24,112,Belarus,0
25,56,Belgium,0
26,58,Belgium-Luxembourg,0
27,84,Belize,0
28,204,Benin,0
29,60,Bermuda,0
30,64,Bhutan,0
31,68,Bolivia,0
32,70,Bosnia Herzegovina,0
33,72,Botswana,0
34,74,Bouvet Island  ,0
35,80,Br. Antarctic Terr.,0
36,86,Br. Indian Ocean Terr.,0
37,92,Br. Virgin Isds,0
38,76,Brazil,0
39,96,Brunei Darussalam,0
40,100,Bulgaria,0
41,837,Bunkers,0
42,854,Burkina Faso,0
43,108,Burundi,0
44,471,CACM,0
45,116,Cambodia,0
46,120,Cameroon,0
47,124,Canada,0
48,132,Cape Verde,0
49,129,Caribbean,0
50,136,Cayman Isds,0
51,140,Central African Rep.,0
52,148,Chad,0
53,152,Chile,0
54,156,China,0
55,344,China,0
56,446,China,0
57,162,Christmas Isds,0
58,166,Cocos Isds,0
59,170,Colombia,0
60,174,Comoros,0
61,178,Congo,0
62,184,Cook Isds,0
63,188,Costa Rica,0
64,384,C�te d'Ivoire,0
65,191,Croatia,0
66,192,Cuba,0
67,196,Cyprus,0
68,203,Czech Rep.,0
69,200,Czechoslovakia,0
70,408,Dem. People's Rep. of Korea,0
71,180,Dem. Rep. of the Congo,0
72,208,Denmark,0
73,262,Djibouti,0
74,212,Dominica,0
75,214,Dominican Rep.,0
76,588,East and West Pakistan,0
77,221,Eastern Europe,0
78,218,Ecuador,0
79,818,Egypt,0
80,222,El Salvador,0
81,226,Equatorial Guinea,0
82,232,Eritrea,0
83,233,Estonia,0
84,231,Ethiopia,0
85,97,EU-27,0
86,697,Europe EFTA,0
87,492,Europe EU,0
88,234,Faeroe Isds,0
89,238,Falkland Isds (Malvinas),0
90,242,Fiji,0
91,246,Finland,0
92,886,Fmr Arab Rep. of Yemen,0
93,278,Fmr Dem. Rep. of Germany,0
94,866,Fmr Dem. Rep. of Vietnam,0
95,720,Fmr Dem. Yemen,0
96,230,Fmr Ethiopia,0
97,280,Fmr Fed. Rep. of Germany,0
98,582,Fmr Pacific Isds,0
99,590,Fmr Panama,0
100,592,Fmr Panama-Canal-Zone,0
101,868,Fmr Rep. of Vietnam,0
102,717,Fmr Rhodesia Nyas,0
103,835,Fmr Tanganyika,0
104,810,Fmr USSR,0
105,890,Fmr Yugoslavia,0
106,836,Fmr Zanzibar and Pemba Isd,0
