V0,V1,V2,V3
1,all,all,0
2,1962,,0
3,1963,,0
4,1964,,0
5,1965,,0
6,1966,,0
7,1967,,0
8,1968,,0
9,1969,,0
10,1970,,0
11,1971,,0
12,1972,,0
13,1973,,0
14,1974,,0
15,1975,,0
16,1976,,0
17,1977,,0
18,1978,,0
19,1979,,0
20,1980,,0
21,1981,,0
22,1982,,0
23,1983,,0
24,1984,,0
25,1985,,0
26,1986,,0
27,1987,,0
28,1988,,0
29,1989,,0
30,1990,,0
31,1991,,0
32,1992,,0
33,1993,,0
34,1994,,0
35,1995,,0
36,1996,,0
37,1997,,0
38,1998,,0
39,1999,,0
40,2000,,0
41,2001,,0
42,2002,,0
43,2003,,0
44,2004,,1
45,2005,,1
46,2006,,1
47,2007,,1
48,2008,,1
49,2009,,1
50,2010,,1
51,2011,,1
52,2012,,1
53,2013,,1
54,2014,,1
55,2015,,1
56,2016,,1
57,2017,,1
58,2018,,1
