;Alternate Name;Artist;Author;Genre;Name;Plot;Status;Year of Release
0;"Ichiba Kurogane ha Kasegitai ; Ichiba Kurogane Wants to Earn Income";GOTOU Masaki;GOTOU Masaki;['Comedy', 'Drama', 'School Life', 'Shounen'];Ichiba Kurogane wa Kasegitai;"Ichiba Kurogane is the son of a rich business family, but he wants to earn money by his own power. For this, he goes to Gakuenzono Academy, where students are scored only by how much money they can earn! Within the school, all transactions are made with school-yen, and anything else is forbidden.

Kurogane can tell by sight which people are going to be big earners, and he ends up latching onto a young cook, Naruko Hana. Hana has her own Japanese cuisine cooking club, with a rundown, unpopular, soon-to-be-closed restaurant. With his help to gain customers, she may be able to realize the true earning potential of her cooking skill!

Unfortunately, Kurogane brought his wallet with him to school, and its contents involved a rule infraction that ended up saddling him with a 1 billion school-yen fine! The merciless student council president, Asamatsuri Hagane, demands that he pay a hefty installment on the fine each month or face expulsion. Will Kurogane be able to overcome this setback and reach his own earning potential?";Completed;2015
1;Romantic Drop;NAKAHARA Aya;NAKAHARA Aya;['Comedy', 'Romance', 'Shoujo'];Junjou Drop;"Recently rejected Saki Momota is having a hard time getting over her first love. While picking up her younger brother from school, Saki bumps into Akai Ryuuichi; the class delinquent whos rumored to be able to shoot lazer-beams from his eyes. Could this day get any worse?";Completed;2011
2;Kan Chigai Hime to Usotsuki Shimobe, Kan Chigaihime to Usotsuki Shimobe, Kanchigai-Hime to Usotsuki Shimobe, Kanchigaihime to Usotsuki Shimobe;TAKAMIYA Satoru;TAKAMIYA Satoru;['Comedy', 'Gender Bender', 'Romance', 'School Life', 'Shoujo'];Kanchigai Hime to Usotsuki Shimobe;"From Shoujo Crusade:
[It's okay to be a servant, I want to be by your side...!]
[You'll treat me really really well?]

Mayuri, a girl who wanted to be acknowledged as herself shares the same room with her senpai, Akira who is the student council president and a beautiful person envied by others. But, Akira has a big secret...?
Somehow, her real self is a ""boy""!?
Moreover, he makes a petition of wanting to be Mayuri's servant...?

Thus, the wonderful room sharing life of the domineering (!) beautiful girl, Mayuri and a boy wearing girl's clothes who's also a bit of a trickster (?) Akira starts.

Takamiya Satoru's lyrical love comedy.";Completed;2011
3;"Musamura; Musashi-kun and Murayama-san's Dating Trial; Musashi-kun to Murayama-san wa Tsukiatte Mita.";Asuku Naru;Asuku Naru;['Comedy', 'Romance', 'School Life', 'Slice of Life'];Musashi-kun to Murayama-san wa Tsukiatte Mita.;"Musashi and Miyamura, both of whom stood out in class, decided to start dating! Follow their delightful adventures on this slow paced romantic comedy 4-koma.
";Ongoing;2015
4;Kaiji Part 4, Kaiji: Kazuya-hen, Tobaku Datenroku Kaiji: Kazuya Arc, Tobaku Datenroku Kaiji: Kazuya-hen;FUKUMOTO Nobuyuki;FUKUMOTO Nobuyuki;['Drama', 'Psychological', 'Seinen', 'Sports', 'Tragedy'];Tobaku Datenroku Kaiji: Kazuyahen;"1. Tobaku Mokushiroku Kaiji

2. Tobaku Hakairoku Kaiji

3. Tobaku Datenroku Kaiji

4. Tobaku Datenroku Kaiji: Kazuyahen";Ongoing;2009
5;Welcome to Ghost City!;Latte;Yoodeul;['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Slice of Life', 'Supernatural'];Welcome to Ghost City;With an increasing population of ghosts in the city of Seoul, escalating posthumous territoriality begins to become dangerous for living residents. The solution: vacant buildings just for ghosts.;Ongoing;2014
6;Biet doi ao den;KISARAGI Yoshinori;KISARAGI Yoshinori;['Action', 'Josei', 'Mystery', 'Supernatural'];#000000 - Ultra Black;"From iskultrip Scans:

Raised in a home nearly all his life, Sanetora has been provided for anonymously for as long as he could remember. When his mysterious benefactor offers to foster him, he is more than thrilled—it's like a dream come true! The person waiting for him at his would-be new home however, is a startlingly young man with a sharp tongue!

Kanae, Sanetora's foster father, is a businessman who runs a company, and is not without an ulterior motive: Sanetora suddenly finds himself employed! As if that wasn't perplexing enough, it turns out the company is no ordinary company—it deals with strange objects that can turn their owners into freaks of nature!!

Just how is Sanetora going to live his new life?!";Ongoing;2007
7;Plus Alpha no Tachiichi;TSUKITOMO Yuu;TSUKITOMO Yuu;['Adventure', 'Comedy', 'Fantasy', 'Mystery', 'Shoujo'];+a no Tachiichi;"Satoki Houma is an imaginative girl who enjoys shoujo manga. She has long comes to terms with the fact she will never be the type of girl that is the heroine of a manga — purely because she isn’t pretty, and she has decided she prefers to watch events unfold rather that get involved in any case. However, in the perfect shoujo manga twist, one day she gets dragged to an alternate world where the people have summoned a Holy Maiden to save them…!

Except so did her classmate, Haruka Toudou, who fits the exact model of a Shoujo Protagonist. Naturally, Satoki is overlooked for Haruka… except it’s not Haruka who has the powers of the Holy Maiden they wished for. What will Satoki do!?";Ongoing;2013
8;Plus Anima, Parallel +Anima;Mukai, Natsumi;Mukai, Natsumi;['Adventure', 'Fantasy', 'Shounen'];+Anima;"Beings who possess animal-like powers walk among humans in this alternate universe. These mysterious mutants, the +Anima, are shunned by society. Four outcasts in particular--Cooro, a boy with crow-like powers; Husky, a fish-boy; Senri, a bear +Anima; and a girl named Nana, who wields the power of the bat--search for others like themselves while trying to gain acceptance in a world cruel to anyone or anything that is different.";Completed;2001 - 2005
9;Plus-si: Sword and Cornett, +C sword and cornett;;Yugyoji, Tama (Story & Art);['Action', 'Fantasy', 'Shoujo'];+C Sword and Cornett;"Once, there was a hero who vanquished the darkness on this land and liberated people from it. He then built a kingdom, and had his descendants to rule as kings. Although they had ruled the land for so many years, the truth is the politic is being centered on the elders from each region of the kingdom.
This seemingly peaceful kingdom, was then disturbed by the mysterious death of the next successor to the throne. The death started to involve all of those who have rights to succeed the throne to be the next king… 

From Shinmakoku Scanlations";Ongoing;2008
10;0-nousha Minato, Reinousha Minato, Zero Nousha Minato, Zero-Gifts Minato, Zero-Power Person Minato;TAGURA Tohru;HAYAMA Tooru;['Shoujo', 'Supernatural'];0-noushiya Minato;"From Easy Going Scans:

Minato Kujou is a cynical and sharp tongued young man who has no spiritual abilities at all. He is looked down upon by others in the spiritual profession and referred to as the 'Zero Ability Individual'. Despite his reputation, he has a surprising way of defeating the monsters known as 'spectres'.";Ongoing;2011
11;;Jangjak;Jangjak;['Horror'];0.0 Mhz;;Ongoing;2012
12;007 Series;Saitou Takao;Ian Fleming;['Action', 'Adventure', 'Drama', 'Shounen'];007 Series;"A series of manga adaptations of Ian Fleming's James Bond novels.

Four novels were adapted in total: Live and Let Die (volume one), Thunderball (volume two), On Her Majesty's Secret Service (volume three) and The Man with the Golden Gun (volume four).";Ongoing;1966
13;009 Re: Cyborg;ASOU Gatou;ISHINOMORI Shotaro, KAMIYAMA Kenji;['Action', 'Adventure', 'Sci-Fi', 'Seinen', 'Supernatural'];009 Re:Cyborg;The pre-anime debut manga about the new cyborg 009.;Ongoing;2012
14;07 Ghost, seven ghost, 7 ghosts, the seven ghosts, 07=ghost;;Amemiya, Yuki  (Story), Ichihara, Yukino (Art);['Action', 'Demons', 'Fantasy', 'Magic', 'Military'];07 Ghost;"Barsburg Empires Military Academy has always been known for training the elite with potential to become superb soldiers who wont bring shame to the name of the empire. The students of the special program freely utilize an ability called zaiphon to fight... Everyones capabilities are different, and in many cases, reflect their nature.

However, not everything is what it seems, and nothing will be the same for Teito Klein after passing the last exam...

Source: Timcanpi";Ongoing;2005
15;;;ASAKURA Maru (Story & Art);['Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Shounen'];090 - Eko To Issho;Hiroshi found a broken cellphone on the street and went to a shop to get it fixed. When it got delivered to his home, he got a life-sized girl instead but it is still a cellphone. Hiroshi only wants a normal cellphone that he can brag to his classmates but he can't return this one because of the expensive return fee written in the purchase contract. This is how Hiroshi discovers the advantages and disadvantages in life of owning a cellphone-girl, which he named Eko.;Ongoing;2005
16;1-nen A-gumi no Monster;Hideki;Hideki;['Comedy', 'Romance', 'School Life', 'Shounen'];1-nen A-gumi no Monster;;Ongoing;
17;1/11 Juuichi Bun no Ichi, 1/11 Juuichi Bunno Ichi, 1/11 Juuichi Bunnoichi, Juu-ichi Bun no Ichi, Juuichi Bun no Ichi, Juuichi Bunno Ichi, Juuichi Bunnoichi;NAKAMURA Takatoshi;NAKAMURA Takatoshi;['Shounen', 'Sports', 'Tragedy'];1/11;"From FairGame (Jcafe24):
Andou Sora felt his limit to his talent, and quit the soccer after middle school graduation. However, encounter with representative of Japan's national womans team. Wakamiya Shiki, she moved something that slept in deep inside of Sora's heart.";Ongoing;2010
18;One Half Love!;Kayoru;Kayoru;['Gender Bender', 'Romance', 'Shoujo'];1/2 Love!;"From Chibi Manga:

Plainful child. Akari is really attracted by the popular Unit of idols “Flower”.
Then Akari get the chance to sing at the Flower’s center?! But what is the secret that Flower keep…?!";Completed;2010
19;Half Prince, 1/2 Ouji;;Yu Wo (Story), Choi Hong Chong (Art);['Action', 'Adventure', 'Comedy', 'Fantasy', 'Gender Bender', 'Romance', 'Sci-Fi'];1/2 Prince;"It is the year 2100A.D., humans have developed a virtual reality game. Feng Lan, due to a bet with her twin brother, vows to beat the game without using her ""female benefits."" Due to this, she becomes the first female to play as a male character in ""Second Life."" As her infamy rises as a blood thirsty warrior, can she keep her identity a secret from her real life acquaintances whom she has beaten up? ";Ongoing;2004
20;Please Wait Until I Fall In Love, 1/3 no Kareshi, My 1/3 Boyfriend, Uso to Koi no Hajimari, Deatta Toki ni Boku wa Mouinai, Suki No Naru Made Matte;Ako Shimaki;Ako Shimaki;['Romance', 'School Life', 'Shoujo'];1/3 No Kareshi;Kogure Yuuya takes an embarrassing picture of Fukada Rei, but he says he will only delete it if they meet again at the same place later. What will Rei do?;Completed;2008
